,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1005,22,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.09090909090909091
1,2009,28,0.2857142857142857,0.21428571428571427,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.07142857142857142
2,3014,32,0.26666666666666666,0.06666666666666667,0.2,0.2,0.13333333333333333,0.13333333333333333
3,4018,34,0.26666666666666666,0.06666666666666667,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.06666666666666667
4,5023,35,0.26666666666666666,0.06666666666666667,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.06666666666666667
5,6029,36,0.3333333333333333,0.06666666666666667,0.2,0.26666666666666666,0.06666666666666667,0.06666666666666667
6,7034,37,0.4,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.06666666666666667
7,8040,38,0.4,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.06666666666666667
8,9042,39,0.4,0.13333333333333333,0.13333333333333333,0.2,0.06666666666666667,0.06666666666666667
9,10047,39,0.4666666666666667,0.06666666666666667,0.13333333333333333,0.2,0.06666666666666667,0.06666666666666667
10,11059,40,0.4666666666666667,0.06666666666666667,0.13333333333333333,0.2,0.06666666666666667,0.06666666666666667
11,12075,40,0.5333333333333333,0.06666666666666667,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667
12,13092,40,0.5333333333333333,0.06666666666666667,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667
13,14112,40,0.5333333333333333,0.06666666666666667,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667
14,15134,40,0.5333333333333333,0.06666666666666667,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667
15,16154,40,0.5333333333333333,0.06666666666666667,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667
16,17169,40,0.5333333333333333,0.06666666666666667,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667
17,18183,40,0.5333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.06666666666666667
18,19203,40,0.4666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333
19,20222,40,0.4,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333
20,21234,40,0.4,0.13333333333333333,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.13333333333333333
21,22255,42,0.4666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2,0.13333333333333333
22,23275,44,0.3125,0.1875,0.125,0.0625,0.1875,0.125
23,24294,44,0.3125,0.1875,0.125,0.0625,0.1875,0.125
24,25314,45,0.25,0.25,0.125,0.0625,0.1875,0.125
25,26335,46,0.25,0.25,0.125,0.0625,0.1875,0.125
26,27357,46,0.3125,0.1875,0.125,0.0625,0.1875,0.125
27,28373,46,0.3125,0.1875,0.125,0.0625,0.1875,0.125
28,29392,46,0.3125,0.1875,0.125,0.0625,0.1875,0.125
29,30413,48,0.375,0.125,0.0625,0.0625,0.1875,0.1875
30,31435,49,0.375,0.1875,0.0625,0.0625,0.1875,0.125
31,32457,49,0.375,0.1875,0.0625,0.0625,0.1875,0.125
32,33470,49,0.375,0.1875,0.0625,0.0625,0.1875,0.125
33,34490,49,0.375,0.1875,0.0625,0.0625,0.1875,0.125
34,35511,49,0.375,0.1875,0.0625,0.0625,0.1875,0.125
35,36539,50,0.23529411764705882,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.23529411764705882
36,37547,50,0.23529411764705882,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.23529411764705882
37,38553,50,0.23529411764705882,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.23529411764705882
38,39562,50,0.23529411764705882,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.23529411764705882
39,40572,50,0.23529411764705882,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.23529411764705882
40,41583,50,0.23529411764705882,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.23529411764705882
41,42594,50,0.23529411764705882,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.17647058823529413,0.23529411764705882
42,43602,51,0.23529411764705882,0.29411764705882354,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.23529411764705882
43,44615,51,0.29411764705882354,0.29411764705882354,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.17647058823529413
44,45625,51,0.29411764705882354,0.29411764705882354,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.17647058823529413
45,46635,52,0.29411764705882354,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.23529411764705882
46,47648,52,0.29411764705882354,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.23529411764705882
47,48657,53,0.3333333333333333,0.2,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.2
48,49671,53,0.3333333333333333,0.2,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.2
49,50035,53,0.3333333333333333,0.2,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.2
