,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1005,16,0.3,0.1,0.1,0.3,0.1,0.1
1,2008,18,0.4,0.1,0.1,0.2,0.1,0.1
2,3013,18,0.4,0.1,0.1,0.2,0.1,0.1
3,4019,20,0.4,0.1,0.1,0.2,0.1,0.1
4,5027,21,0.4,0.1,0.1,0.2,0.1,0.1
5,6031,22,0.4,0.1,0.1,0.2,0.1,0.1
6,7036,22,0.4,0.1,0.1,0.2,0.1,0.1
7,8040,23,0.4,0.1,0.1,0.2,0.1,0.1
8,9046,23,0.4,0.1,0.1,0.2,0.1,0.1
9,10052,23,0.4,0.1,0.1,0.2,0.1,0.1
10,11067,23,0.4,0.1,0.1,0.2,0.1,0.1
11,12086,23,0.4,0.1,0.1,0.2,0.1,0.1
12,13103,23,0.4,0.1,0.1,0.2,0.1,0.1
13,14103,23,0.4,0.1,0.1,0.2,0.1,0.1
14,15106,23,0.4,0.1,0.1,0.2,0.1,0.1
15,16114,23,0.45454545454545453,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091
16,17128,23,0.45454545454545453,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091
17,18130,24,0.5,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333
18,19132,24,0.5,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333
19,20010,24,0.5,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333
