,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1003,17,0.2,0.2,0.2,0.1,0.1,0.2
1,2008,21,0.2,0.1,0.3,0.2,0.1,0.1
2,3008,21,0.2,0.1,0.4,0.1,0.1,0.1
3,4010,21,0.2,0.1,0.4,0.1,0.1,0.1
4,5014,22,0.1,0.1,0.4,0.2,0.1,0.1
5,6017,23,0.2,0.1,0.2,0.3,0.1,0.1
6,7022,23,0.2,0.1,0.2,0.3,0.1,0.1
7,8024,23,0.1,0.1,0.2,0.3,0.2,0.1
8,9028,26,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.18181818181818182,0.09090909090909091
9,10030,26,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.18181818181818182,0.09090909090909091
10,11045,26,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.18181818181818182,0.09090909090909091
11,12050,26,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.18181818181818182,0.09090909090909091
12,13066,26,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.18181818181818182,0.09090909090909091
13,14083,26,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.18181818181818182,0.09090909090909091
14,15098,26,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.18181818181818182,0.09090909090909091
15,16104,26,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.45454545454545453,0.18181818181818182,0.09090909090909091
16,17120,27,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.09090909090909091
17,18122,27,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.09090909090909091
18,19140,27,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.36363636363636365,0.18181818181818182,0.09090909090909091
19,20140,28,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.08333333333333333
20,21158,30,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.07692307692307693
21,22160,30,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.07692307692307693
22,23161,30,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.3076923076923077,0.15384615384615385,0.07692307692307693
23,24183,30,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.3076923076923077,0.15384615384615385,0.07692307692307693
24,25202,30,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.3076923076923077,0.15384615384615385,0.07692307692307693
25,26220,30,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.3076923076923077,0.15384615384615385,0.07692307692307693
26,27221,30,0.07692307692307693,0.15384615384615385,0.23076923076923078,0.3076923076923077,0.15384615384615385,0.07692307692307693
27,28239,30,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.07692307692307693
28,29261,30,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.07692307692307693
29,30280,30,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.07692307692307693
30,31299,30,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.07692307692307693
31,32299,30,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.07692307692307693
32,33326,30,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.07692307692307693
33,34346,31,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.07692307692307693
34,35368,31,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.07692307692307693
35,36368,32,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.07692307692307693
36,37368,34,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.07692307692307693
37,38387,35,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.07692307692307693
38,39413,35,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.07692307692307693
39,40439,35,0.07692307692307693,0.38461538461538464,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.07692307692307693
40,41456,37,0.15384615384615385,0.3076923076923077,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.07692307692307693
41,42484,38,0.15384615384615385,0.3076923076923077,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.07692307692307693
42,43510,40,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.23076923076923078,0.15384615384615385,0.07692307692307693
43,44535,41,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.07692307692307693
44,45563,41,0.07692307692307693,0.23076923076923078,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.07692307692307693
45,46587,42,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.07692307692307693
46,47607,43,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.07692307692307693
47,48625,43,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.07692307692307693
48,49647,43,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.07692307692307693
49,50018,43,0.07692307692307693,0.3076923076923077,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.07692307692307693
