,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1003,29,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.09090909090909091
1,2005,31,0.08333333333333333,0.16666666666666666,0.25,0.25,0.16666666666666666,0.08333333333333333
2,3009,31,0.08333333333333333,0.16666666666666666,0.25,0.25,0.16666666666666666,0.08333333333333333
3,4014,32,0.15384615384615385,0.15384615384615385,0.23076923076923078,0.23076923076923078,0.15384615384615385,0.07692307692307693
4,5016,34,0.08333333333333333,0.16666666666666666,0.25,0.25,0.16666666666666666,0.08333333333333333
5,6022,35,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.08333333333333333
6,7026,35,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666
7,8029,36,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.08333333333333333
8,9032,36,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.08333333333333333
9,10036,37,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.08333333333333333
10,11057,37,0.25,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.08333333333333333
11,12059,37,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.08333333333333333
12,13079,37,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666
13,14080,37,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666
14,15095,38,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666
15,16116,38,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666
16,17119,38,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666
17,18119,38,0.25,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.08333333333333333
18,19119,38,0.25,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.08333333333333333
19,20136,38,0.25,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.08333333333333333
20,21140,38,0.25,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.08333333333333333
21,22146,38,0.25,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.08333333333333333
22,23165,39,0.25,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.08333333333333333
23,24169,39,0.25,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.08333333333333333
24,25172,39,0.25,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.08333333333333333
25,26196,39,0.25,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.08333333333333333
26,27199,39,0.25,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.08333333333333333
27,28215,39,0.25,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.08333333333333333
28,29239,39,0.25,0.08333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.08333333333333333
29,30255,39,0.08333333333333333,0.08333333333333333,0.25,0.25,0.08333333333333333,0.25
30,31274,39,0.08333333333333333,0.08333333333333333,0.25,0.25,0.08333333333333333,0.25
31,32287,39,0.08333333333333333,0.08333333333333333,0.25,0.25,0.08333333333333333,0.25
32,33309,39,0.08333333333333333,0.08333333333333333,0.25,0.25,0.08333333333333333,0.25
33,34311,39,0.08333333333333333,0.08333333333333333,0.25,0.25,0.08333333333333333,0.25
34,35323,39,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.25,0.08333333333333333,0.16666666666666666
35,36340,40,0.08333333333333333,0.08333333333333333,0.25,0.3333333333333333,0.08333333333333333,0.16666666666666666
36,37360,40,0.08333333333333333,0.08333333333333333,0.25,0.3333333333333333,0.08333333333333333,0.16666666666666666
37,38361,40,0.08333333333333333,0.08333333333333333,0.25,0.3333333333333333,0.08333333333333333,0.16666666666666666
38,39383,40,0.08333333333333333,0.08333333333333333,0.25,0.3333333333333333,0.08333333333333333,0.16666666666666666
39,40400,40,0.08333333333333333,0.08333333333333333,0.25,0.3333333333333333,0.08333333333333333,0.16666666666666666
40,41402,40,0.08333333333333333,0.08333333333333333,0.25,0.3333333333333333,0.08333333333333333,0.16666666666666666
41,42420,40,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.25
42,43443,41,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.25,0.08333333333333333,0.25
43,44444,41,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.25,0.08333333333333333,0.25
44,45444,41,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.25,0.08333333333333333,0.25
45,46447,41,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.25,0.08333333333333333,0.25
46,47465,41,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.25,0.08333333333333333,0.25
47,48488,41,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.25,0.08333333333333333,0.25
48,49502,41,0.08333333333333333,0.25,0.16666666666666666,0.25,0.08333333333333333,0.16666666666666666
49,50019,41,0.08333333333333333,0.25,0.16666666666666666,0.25,0.08333333333333333,0.16666666666666666
