,nfe,epsilon_progress,SBX,PCX,DifferentialEvolution,UNDX,SPX,UM
0,1002,16,0.2,0.2,0.1,0.2,0.2,0.1
1,2009,17,0.2,0.2,0.1,0.2,0.2,0.1
2,3013,18,0.2,0.2,0.1,0.2,0.2,0.1
3,4017,18,0.2,0.2,0.1,0.2,0.2,0.1
4,5021,18,0.2,0.2,0.1,0.2,0.2,0.1
5,6023,19,0.2,0.2,0.1,0.2,0.2,0.1
6,7025,21,0.2,0.3,0.1,0.2,0.1,0.1
7,8028,22,0.3,0.2,0.1,0.2,0.1,0.1
8,9034,23,0.3,0.2,0.1,0.2,0.1,0.1
9,10039,24,0.2,0.3,0.1,0.2,0.1,0.1
10,11056,25,0.2,0.3,0.1,0.2,0.1,0.1
11,12057,26,0.2,0.3,0.1,0.2,0.1,0.1
12,13060,26,0.2,0.3,0.1,0.2,0.1,0.1
13,14063,27,0.3,0.2,0.1,0.2,0.1,0.1
14,15070,28,0.3,0.2,0.1,0.2,0.1,0.1
15,16080,28,0.2,0.3,0.1,0.2,0.1,0.1
16,17098,30,0.2,0.3,0.1,0.2,0.1,0.1
17,18112,31,0.2727272727272727,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.18181818181818182
18,19131,31,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.2727272727272727
19,20132,33,0.18181818181818182,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091
20,21136,33,0.18181818181818182,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091
21,22142,33,0.18181818181818182,0.36363636363636365,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091
22,23149,33,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091
23,24156,33,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091
24,25174,33,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091
25,26179,34,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091
26,27181,34,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091
27,28184,34,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091
28,29187,35,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091
29,30187,35,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091
30,31187,35,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091
31,32202,35,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.09090909090909091
32,33205,35,0.16666666666666666,0.25,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.25
33,34209,35,0.16666666666666666,0.25,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.25
34,35229,35,0.16666666666666666,0.25,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.25
35,36235,36,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.25,0.08333333333333333,0.25
36,37258,36,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.25,0.08333333333333333,0.25
37,38263,36,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.25,0.08333333333333333,0.25
38,39264,36,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.25,0.08333333333333333,0.25
39,40287,36,0.25,0.16666666666666666,0.08333333333333333,0.25,0.08333333333333333,0.16666666666666666
40,41310,37,0.25,0.08333333333333333,0.08333333333333333,0.25,0.08333333333333333,0.25
41,42331,37,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.08333333333333333,0.16666666666666666
42,43335,37,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.08333333333333333,0.16666666666666666
43,44340,39,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.14285714285714285
44,45363,39,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.14285714285714285
45,46364,39,0.35714285714285715,0.14285714285714285,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.14285714285714285
46,47366,39,0.5,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.07142857142857142
47,48381,40,0.5,0.07142857142857142,0.07142857142857142,0.21428571428571427,0.07142857142857142,0.07142857142857142
48,49392,40,0.5333333333333333,0.06666666666666667,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667
49,50012,42,0.5333333333333333,0.06666666666666667,0.06666666666666667,0.2,0.06666666666666667,0.06666666666666667
